reg_code;reg_name;road_code;road_name;road_type;oktmo;address;crash_type_name;crash_date;crash_time;crash_reason;fatalities_amount;victims_amount;vehicles_amount;participants_amount;latitude;longitude
33;Кировская область;Р-243;Кострома – Шарья – Киров - Пермь;Федеральная дорога общего пользования;33635000;ПФО, Кировская область, Слободской район;Столкновение;20181217;9:50:00;Нарушение правил обгона, Выезд на полосу встречного движения;1;0;2;2;58.725852;50.213302
85;Республика Калмыкия;;Яшкуль-Комсомольский-Артезиан;Региональная или межмуниципальная дорога общего пользования;85642000;ЮФО, Республика Калмыкия, Черноземельский район;Столкновение;20181217;9:35:00;Выезд на полосу встречного движения;1;0;2;5;45.437279;45.963707
64;Сахалинская область;А-392;Южно-Сахалинск - Холмск;Федеральная дорога общего пользования;64708000;ДФО, Сахалинская область, Анивский район;Съезд с дороги;20181217;9:30:00;Другие нарушения ПДД водителями;2;0;1;3;46.774877;142.414774
41;Ленинградская область;;Форт Красная горка - Коваши - Сосновый Бор;Региональная или межмуниципальная дорога общего пользования;41630000;СЗФО, Ленинградская область, Ломоносовский район;Столкновение;20181217;9:20:00;Выезд на полосу встречного движения;1;0;3;2;59.899614;29.202089
3;Краснодарский край;;ст.Тбилисская-ст.Нововладимировская;Региональная или межмуниципальная дорога общего пользования;3649000;ЮФО, Краснодарский край, Тбилисский район;Столкновение;20181217;9:20:00;Выезд на полосу встречного движения в местах, где это запрещено;2;0;3;3;45.430443;40.155888
89;Республика Мордовия;М-5;Подъезд к городу Саранск от а/д М-5;Федеральная дорога общего пользования;89654000;ПФО, Республика Мордовия, Торбеевский район;Столкновение;20181217;9:15:00;Нарушение правил перестроения;1;0;2;3;54.070318;43.195217
92;Республика Татарстан;М-7;"""Волга"" Москва - Владимир - Нижний Новгород - Казань - Уфа (основное направление)";Федеральная дорога общего пользования;92638000;ПФО, Республика Татарстан, Мамадышский район;Столкновение;20181217;9:10:00;Нарушение правил расположения ТС на проезжей части;1;0;3;2;55.653282;51.128483
46;Московская область;;Аксеново-Колонтаево;Региональная или межмуниципальная дорога общего пользования;46639402101;"ЦФО, Московская область, Городской округ ""Богородский"", д Аксено-Бутырки";Столкновение;20181217;9:10:00;Непредоставление преимущества в движении ТС, имеющему нанесенные на наружные поверхности специальные цветографические схемы, надписи и обозначения, с одновременно включённым проблесковым маячком синего цвета и специальным звуковым сигналом;0;1;2;2;55.832517;38.381574
17;Владимирская область;М-7;Подъезд к городу Иваново от а/д М-7;Федеральная дорога общего пользования;17654000;ЦФО, Владимирская область, Суздальский район;Столкновение;20181217;9:00:00;Нарушение правил обгона;1;0;2;2;56.224906;40.442648
49;Новгородская область;49К-0720;Любытино - Хвойная;Региональная или межмуниципальная дорога общего пользования;49645000;СЗФО, Новгородская область, Хвойнинский район;Столкновение;20181217;9:00:00;Выезд на полосу встречного движения;2;0;2;2;58.897475;34.406862
17;Владимирская область;;Колокша - Кольчугино - Александров - Верхние Дворики;Региональная или межмуниципальная дорога общего пользования;17640000;ЦФО, Владимирская область, Кольчугинский район;Столкновение;20181217;8:30:00;Нарушение правил расположения ТС на проезжей части;2;0;3;2;56.314252;39.334745
82;Республика Дагестан;;Манас-Сергокала-Первомайское;Региональная или межмуниципальная дорога общего пользования;82635000;СКФО, Республика Дагестан, Карабудахкентский район;Опрокидывание;20181217;8:25:00;Несоответствие скорости конкретным условиям движения;11;3;1;15;42.674832;47.569556
25;Иркутская область;Р-255;"""Сибирь"" Новосибирск - Кемерово - Красноярск – Иркутск (основное направление)";Федеральная дорога общего пользования;25640000;СФО, Иркутская область, Усольский район;Столкновение;20181217;8:20:00;Выезд на полосу встречного движения;4;0;2;4;52.499053;103.7494
37;Курганская область;Р-354;Екатеринбург - Шадринск - Курган;Федеральная дорога общего пользования;37610000;УФО, Курганская область, Каргапольский район;Опрокидывание;20181217;8:00:00;Нарушение правил расположения ТС на проезжей части;1;0;1;12;55.882701;64.732904
70;Тульская область;Р-132;Калуга - Тула - Михайлов - Рязань;Федеральная дорога общего пользования;;ЦФО, Тульская область, городской округ г.Тула, Пролетарский;Столкновение;20181217;8:00:00;Неправильный выбор дистанции;1;0;2;2;54.2393;37.659931
